ANO_INIC_VIG,ANO_INIC_VIG_GERAL,ANO_MES_EMIS_GERAL,ANO_MES_INIC_VIG_APOL,ANO_MODELO,COD_CIA_EMIS,COD_CLASSE_BONUS,COD_PROD,COD_UNID_EMIS,DSC_ESTADO_CIVIL_CONDUTOR,DSC_FAMILIA_VEICULO,DSC_PORTE_VEICULO,DSC_REGIAO_GEO,DSC_REGIONAL_MODEL,DSC_SEGMENTO_VEICULO,DSC_SEXO_CONDUTOR,DT_INIC_ANO_VIG,GR_RISCO_TT,GRUPO_RISCO_BRASIL,IDADE_SEGURADO_F_ATUAL,IDC_ESTADO_CIVIL_CONDUTOR,NME_REGIAO_GEO,NME_REGIAO_POLITICA,NME_REGIAO_RISCO,NUM_APOLICE,NUM_ENDOSSO,QTD_IDADE_CONDUTOR,QTD_IDADE_SEGURADO,QTD_IDADE_VEICULO,QTD_SIN_PP,QTD_SIN_PP_TOTAL,QTD_SIN_PT,QTD_SIN_RB,QTD_SIN_RCF,QTD_SIN_TOTAL,SIG_FABRIC,VAL_LMR_CASCO_FINAL,VAL_LMR_RCF_DM,VAL_PR_ANUAL_CASCO,VAL_PR_ANUAL_RCF_DM,VAL_PR_CASCO,VAL_PR_FINAL_CASCO,VAL_PR_FINAL_RCF_DM,VAL_PR_RISCO_CASCO,VAL_PR_RISCO_RCF_DC,VAL_PR_RISCO_RCF_DM
2020,2020,202001,201912,2011,7110,2,1,221,05.SEM INFORMACAO,NAO INFORMADO,ISOTERMICO ACIMA DE 2 EIXOS,SUDESTE,SP INT,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2019-08-01 00:00:00,0,7,120,,SUDESTE,CIRCUITO DAS AGUAS 1,SP_MESO CAMPINAS,8531760,6076718,0,999,8,0,0,0,0,0,0,NIJU,98503,0,12508.68,0,0,0,0,0,0,0
2019,2019,202001,201912,2014,7110,0,5,132,01.CASADO,FOX,PEQUENO,SUDESTE,RJ,STANDARD,01.MASCULINO,2019-01-01 00:00:00,0,8,62,C,SUDESTE,RJ_CIDADE NITEROI - PRAIAS DA BAIA 1,RJ_CIDADE NITEROI - PRAIAS DA BAIA 1,34203290,0,61,61,5,0,0,0,0,0,0,VW,31424,50000,1064.73,327.65,1064.73,0,324.21,995.284,11.829,236.58
2019,2019,201904,201903,2018,7110,5,5,132,06.MISSING,ONIX,PEQUENO,SUDESTE,RJ,STANDARD,03.MISSING,2019-01-01 00:00:00,0,5,0,,SUDESTE,RJ_CIDADE RJ - BARRAJAC 1.1,RJ_CIDADE RJ - BARRAJAC 1,31774620,0,0,48,1,0,0,0,0,0,0,GM,35959,100000,745.88,420.83,745.88,1383.3,419.418,1032.657,14.137,282.741
2019,2019,201908,201908,2008,7110,4,1,86,05.SEM INFORMACAO,NAO INFORMADO,ISOTERMICO ACIMA DE 2 EIXOS,SUL,SUL,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2019-08-01 00:00:00,0,9,0,,SUL,REG_POL_SC_GRANDE_CAMPOS_NOVOS,SC_DEMAIS,6530090,0,0,999,11,0,0,0,0,0,0,RANDO,61000,0,6640.23,0,6640.23,0,0,6804.985,0,0
2020,2020,202003,202003,2000,7110,0,1,310,05.SEM INFORMACAO,NAO INFORMADO,CARROCERIA ABERTA ACIMA DE 2 EIXOS,CENTRO-OESTE,CO,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2019-08-01 00:00:00,0,10,0,,CENTRO-OESTE,MT_DEMAIS_V2,MT_DEMAIS,3659340,0,0,999,20,0,0,0,0,0,0,RANDO,49968,0,4086.97,0,4086.97,0,0,4544.147,0,0
2020,2020,202002,202002,2007,7110,10,1,60,05.SEM INFORMACAO,NAO INFORMADO,ISOTERMICO ACIMA DE 2 EIXOS,SUDESTE,SP,DISTRIBUICAO / LONGAS DISTANCIAS,01.MASCULINO,2019-08-01 00:00:00,0,9,48, ,SUDESTE,SP_MICRO OSASCO 3,SP_MICRO OSASCO 3,39731170,0,47,999,13,0,0,0,0,0,0,RANDO,69000,0,3918.81,0,3918.81,0,0,1965.177,0,0
2019,2019,201911,201911,2002,7110,5,1,78,05.SEM INFORMACAO,NAO INFORMADO,TANQUE / SILO 2 EIXOS,SUL,SUL,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2019-08-01 00:00:00,0,2,0,,SUL,REG_POL_PR_GRANDE_PARANAPANEMA,PR_MESO NORTE CENTRAL PARANAENSE,6927010,0,0,999,17,0,0,0,0,0,0,GUERR,40000,0,2070.09,0,2070.09,0,0,1913.663,0,0
2019,2019,201903,201903,2013,7110,10,1,78,07.CONDUTOR INDETERMINADO,NAO INFORMADO,TANQUE / SILO 3 EIXOS,SUL,SUL,DISTRIBUICAO / LONGAS DISTANCIAS,05.CONDUTOR INDETERMINADO,2018-08-01 00:00:00,0,3,0,,SUL,REG_POL_PR_GRANDE_UMUARAMA,PR_MESO NOROESTE PARANAENSE,6343610,0,0,999,6,0,0,0,0,0,0,FAB P,165000,0,7412.62,0,7412.62,7335.148,0,2708.361,0,0
2020,2020,202004,201911,2018,7110,0,4,19,05.SEM INFORMACAO,ONIX,PEQUENO,NORTE,NORTE/NORDESTE,STANDARD,04.SEM INFORMACAO,2020-01-01 00:00:00,0,1,120,,NORTE,POL_CAPITAL,NORTE,5596621,1035720,0,999,1,0,0,0,0,0,0,GM,35947,50000,1833.92,743.27,0,0,0,0,0,0
2019,2019,201905,201905,2012,7110,6,1,94,07.CONDUTOR INDETERMINADO,NAO INFORMADO,TANQUE / SILO 3 EIXOS,SUL,SUL,DISTRIBUICAO / LONGAS DISTANCIAS,05.CONDUTOR INDETERMINADO,2018-08-01 00:00:00,0,1,0,,SUL,REG_POL_RS_PELOTAS_OUTROS_SAO_GABRIEL,RS_DEMAIS,10847240,0,0,999,7,0,0,0,0,0,0,GUERR,60000,0,2268.87,0,2268.87,0,0,416.979,0,0
2019,2019,201909,201908,2009,7110,9,3,94,05.SEM INFORMACAO,NAO INFORMADO,COMERCIAL AGRICOLA / OUTROS,SUL,SUL,RURAL / OUTROS,04.SEM INFORMACAO,2019-01-01 00:00:00,0,1,0,,SUL,RESTINGA / BELEM NOVO,RS_MUNICIPIO PORTO ALEGRE,11339590,0,0,999,10,0,0,0,0,0,0,CASE,0,100000,0,333.1,0,0,286.975,0,10.827,123.469
2019,2019,201907,201902,2012,7110,6,76,60,03.SOLTEIRO,KA,COMPACTO,SUDESTE,SP INT,POPULAR / ENTRADA,01.MASCULINO,2019-01-01 00:00:00,0,1,27,S,SUDESTE,02_CAMPINAS_GRP_2,SP_MUNICIPIO CAMPINAS,35695940,36537080,26,62,99,0,0,0,0,0,0,FORD,0,0,912.46,292.29,0,0,0,0,0,0
2019,2019,201910,201910,2013,7110,0,3,94,06.MISSING,NAO INFORMADO,COMERCIAL AGRICOLA / OUTROS,SUL,SUL,RURAL / OUTROS,03.MISSING,2019-01-01 00:00:00,0,1,0,,SUL,REG_POL_RS_CANOAS_GRAVATAI,RS_MICRO PORTO ALEGRE 2,11521210,0,0,999,6,0,0,0,0,0,0,CASE,0,100000,0,808.02,0,0,746.388,0,14.573,291.456
2019,2019,201912,201904,2020,7110,7,1,94,05.SEM INFORMACAO,NAO INFORMADO,CARROCERIA ABERTA 2 EIXOS,SUL,SUL,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2019-08-01 00:00:00,0,4,120,,SUL,REG_POL_RS_GRANDE_PASSO_FUNDO,RS_MESO NOROESTE RIO-GRANDENSE,10718040,5775159,0,999,7,0,0,0,0,0,0,RANDO,119000,0,2266.29,0,150.04,0,0,2604.106,0,0
2019,2019,201907,201904,2014,7110,10,76,60,02.DIVORCIADO,VOYAGE,PEQUENO,SUDESTE,SP,POPULAR / ENTRADA,02.FEMININO,2019-01-01 00:00:00,0,1,52,D,SUDESTE,FRANCA,SP_MESO RIBEIRAO PRETO,36201850,36453862,51,51,99,0,0,0,0,0,0,VW,0,0,565.4,70.09,0,0,0,0,0,0
2020,2020,202004,201912,2020,7110,0,1,27,05.SEM INFORMACAO,VERSA,PEQUENO,NORDESTE,NORTE/NORDESTE,STANDARD,04.SEM INFORMACAO,2020-01-01 00:00:00,0,1,120,,NORDESTE,Regional VI,CE_MUNICIPIO FORTALEZA,11258940,2517264,0,999,0,0,0,0,0,0,0,NISSA,52037,0,1470.01,0,0,0,0,0,0,0
2020,2020,202001,202001,2014,7110,10,1,310,05.SEM INFORMACAO,NAO INFORMADO,CARROCERIA ABERTA ACIMA DE 2 EIXOS,CENTRO-OESTE,CO,CARGA VIVA,04.SEM INFORMACAO,2019-08-01 00:00:00,0,1,0,,CENTRO-OESTE,MT_ CENTRO-SUL ALTO PANTANAL,MT_DEMAIS,3609460,0,0,999,6,0,0,0,0,0,0,BOIAD,130491,0,6150.01,0,6150.01,0,0,4030.658,0,0
2019,2019,201905,201904,2013,7110,6,76,60,01.CASADO,HB20,PEQUENO,NORTE,NORTE/NORDESTE,STANDARD,02.FEMININO,2019-01-01 00:00:00,0,1,37,C,NORTE,POL_CAPITAL,NORTE,36252250,36119881,36,54,99,0,0,0,0,0,0,HYUND,0,0,174.79,42.94,0,0,0,0,0,0
2019,2019,201904,201903,1988,7110,9,3,337,06.MISSING,NAO INFORMADO,COMERCIAL AGRICOLA / OUTROS,SUDESTE,SP INT,RURAL / OUTROS,03.MISSING,2019-01-01 00:00:00,0,1,0,,SUDESTE,PRESIDENTE PRUDENTE,SP_DEMAIS,13527200,0,0,52,31,0,0,0,0,0,0,CASE,0,80000,0,255.03,0,0,205.735,0,6.043,89.504
2019,2019,201908,201907,2013,7110,10,1,337,05.SEM INFORMACAO,NAO INFORMADO,CARROCERIA ABERTA ACIMA DE 2 EIXOS,SUDESTE,SP INT,DISTRIBUICAO / LONGAS DISTANCIAS,01.MASCULINO,2019-08-01 00:00:00,0,0,47, ,SUDESTE,RIBEIRAO PRETO 5,SP_MESO RIBEIRAO PRETO,13815380,8055084,47,46,6,0,0,0,0,0,0,GUERR,60000,0,5864.47,0,0,0,0,2516.181,0,0
2019,2019,201905,201808,2012,7110,0,5,108,06.MISSING,GOL,PEQUENO,SUDESTE,MG/ES,POPULAR / ENTRADA,03.MISSING,2019-01-01 00:00:00,0,1,119,,SUDESTE,MG_UBERLANDIA - DEMAIS,MG_MESO TRIANGULO MINEIRO/ALTO PARNAIBA,11593650,6468560,0,27,6,0,0,0,0,0,0,VW,21538,100000,689.93,330.68,0,0,0,0,0,0
2019,2019,201911,201908,2012,7110,6,74,221,06.MISSING,NAO INFORMADO,PESADO,SUDESTE,SP INT,DISTRIBUICAO / MEDIAS DISTANCIAS,03.MISSING,2019-08-01 00:00:00,0,1,120,,SUDESTE,ITU,SP_MICRO SOROCABA,8006770,5959802,0,999,99,0,0,0,0,0,0,VW,0,0,2310.74,314.46,0,0,0,0,0,0
2019,2019,201906,201807,2010,7110,3,5,132,01.CASADO,CITY,PEQUENO,SUDESTE,MG/ES,STANDARD PREMIUM,02.FEMININO,2019-01-01 00:00:00,0,1,39,C,SUDESTE,ES_MICRO VITORIA 4,ES_MICRO VITORIA,29585770,17883547,39,39,99,0,0,0,0,0,0,HONDA,0,0,438.44,302.51,0,0,0,0,0,0
2019,2019,201901,201901,1997,7110,10,1,78,05.SEM INFORMACAO,NAO INFORMADO,CARROCERIA ABERTA ACIMA DE 2 EIXOS,SUL,SUL,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2018-08-01 00:00:00,0,9,0,,SUL,REG_POL_PR_GRANDE_CASCAVEL,PR_MESO OESTE PARANAENSE,6199890,0,0,54,22,0,0,0,0,0,0,RANDO,22000,0,1695.82,0,1695.82,1693.418,0,627.586,0,0
2020,2020,202004,201907,2019,7110,0,1,27,05.SEM INFORMACAO,ONIX,PEQUENO,NORDESTE,NORTE/NORDESTE,STANDARD,04.SEM INFORMACAO,2020-01-01 00:00:00,0,1,120,,NORDESTE,Regional VI,CE_MUNICIPIO FORTALEZA,10950450,2516683,0,999,0,0,0,0,0,0,0,GM,42336,0,842.8,0,0,0,0,0,0,0
2019,2019,201911,201911,2020,7110,0,1,108,05.SEM INFORMACAO,NAO INFORMADO,TANQUE / SILO 3 EIXOS,SUDESTE,MG/ES,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2019-08-01 00:00:00,0,7,0,,SUDESTE,MG_DEMAIS MURIAE,MG_MESO ZONA DA MATA,13824510,0,0,999,0,0,0,0,0,0,0,RANDO,173500,0,5069.29,0,5069.29,0,0,4525.342,0,0
2019,2019,201908,201908,2016,7110,3,1,27,07.CONDUTOR INDETERMINADO,NAO INFORMADO,CARROCERIA ABERTA 2 EIXOS,NORDESTE,NORTE/NORDESTE,DISTRIBUICAO / LONGAS DISTANCIAS,05.CONDUTOR INDETERMINADO,2019-08-01 00:00:00,0,8,0,,NORDESTE,POL_BA_DEMAIS_2,BA_DEMAIS,11048140,0,0,999,3,0,0,0,0,0,0,NOMA,74770,0,5073.39,0,5073.39,0,0,1746.106,0,0
